comment,label,race,religion,gender,sexual_orientation,miscellaneous
China culture is so rich and beautiful.,offensive,China,Hindu,Male,Heterosexual,Minority
Attacking someone's Hindu is never okay.,normal,Brazil,Hindu,Female,Heterosexual,Other
"You are being so offensive, please stop.",offensive,Brazil,None,Female,Homosexual,Other
This is such a hateful thing to say about Christian people.,offensive,Brazil,Christian,Female,Bisexual,Disability
Male deserve equal treatment.,normal,Nigeria,Sikh,Male,Homosexual,Disability
This is such a hateful thing to say about Buddhist people.,offensive,India,Buddhist,Female,Heterosexual,None
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Jewish,Male,Bisexual,Disability
Why are Male always blamed?,normal,India,Sikh,Male,Heterosexual,None
I can't believe people from Brazil still think like this.,hate speech,Brazil,Jewish,Female,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,China,Sikh,Non-binary,Bisexual,Minority
This is such a hateful thing to say about Hindu people.,normal,USA,Hindu,Non-binary,Other,Other
I can't believe people from Russia still think like this.,normal,Russia,Buddhist,Female,Bisexual,Refugee
"You are being so normal, please stop.",normal,Germany,Muslim,Female,Heterosexual,Disability
Attacking someone's Sikh is never okay.,hate speech,USA,Sikh,Male,Heterosexual,Refugee
Why are Non-binary always blamed?,normal,Nigeria,None,Non-binary,Heterosexual,Minority
Other rights are human rights!,normal,China,Sikh,Non-binary,Other,Refugee
Homosexual rights are human rights!,normal,UK,Jewish,Female,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Jewish,Male,Bisexual,None
Stop treating Refugee like second-class citizens.,normal,Nigeria,Jewish,Non-binary,Bisexual,Refugee
"You are being so offensive, please stop.",offensive,Brazil,Muslim,Male,Heterosexual,Minority
Why are Male always blamed?,normal,China,None,Male,Heterosexual,Refugee
Germany culture is so rich and beautiful.,normal,Germany,Sikh,Non-binary,Other,Minority
Why are Male always blamed?,hate speech,Brazil,Hindu,Male,Bisexual,Other
Attacking someone's Sikh is never okay.,hate speech,Nigeria,Sikh,Male,Heterosexual,Disability
Russia culture is so rich and beautiful.,offensive,Russia,Sikh,Non-binary,Other,Refugee
I can't believe people from Brazil still think like this.,hate speech,Brazil,Jewish,Male,Bisexual,None
Attacking someone's Hindu is never okay.,offensive,China,Hindu,Male,Homosexual,Minority
Brazil culture is so rich and beautiful.,offensive,Brazil,Sikh,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,India,Hindu,Non-binary,Bisexual,Other
Other rights are human rights!,hate speech,Brazil,Muslim,Female,Other,Disability
"You are being so hate speech, please stop.",hate speech,Brazil,None,Male,Other,Minority
Attacking someone's Sikh is never okay.,offensive,Russia,Sikh,Female,Other,Other
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Sikh,Male,Homosexual,Disability
India culture is so rich and beautiful.,offensive,India,Jewish,Non-binary,Homosexual,None
This is such a hateful thing to say about Muslim people.,hate speech,China,Muslim,Non-binary,Other,Disability
This is such a hateful thing to say about Hindu people.,offensive,Brazil,Hindu,Female,Bisexual,Disability
I can't believe people from China still think like this.,offensive,China,Muslim,Non-binary,Homosexual,None
Bisexual rights are human rights!,hate speech,India,Hindu,Non-binary,Bisexual,Minority
Homosexual rights are human rights!,normal,China,Buddhist,Non-binary,Homosexual,Refugee
Russia culture is so rich and beautiful.,hate speech,Russia,Hindu,Male,Bisexual,Minority
Stop treating Other like second-class citizens.,hate speech,Nigeria,Christian,Non-binary,Homosexual,Other
Heterosexual rights are human rights!,normal,Nigeria,Jewish,Non-binary,Heterosexual,Minority
Female deserve equal treatment.,offensive,Germany,Muslim,Female,Bisexual,Refugee
USA culture is so rich and beautiful.,normal,USA,Sikh,Non-binary,Heterosexual,Other
I can't believe people from USA still think like this.,normal,USA,Christian,Non-binary,Bisexual,Refugee
Attacking someone's Hindu is never okay.,offensive,UK,Hindu,Male,Heterosexual,Disability
USA culture is so rich and beautiful.,offensive,USA,None,Female,Homosexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,Russia,Jewish,Male,Other,Disability
Bisexual rights are human rights!,offensive,Russia,Jewish,Female,Bisexual,Minority
Other rights are human rights!,offensive,Russia,Muslim,Non-binary,Other,None
Stop treating Disability like second-class citizens.,offensive,Brazil,Christian,Female,Other,Disability
Brazil culture is so rich and beautiful.,hate speech,Brazil,Christian,Non-binary,Homosexual,Other
Attacking someone's Buddhist is never okay.,hate speech,India,Buddhist,Non-binary,Homosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Hindu,Female,Heterosexual,Other
Stop treating Minority like second-class citizens.,offensive,Nigeria,Muslim,Female,Bisexual,Minority
This is such a hateful thing to say about Sikh people.,hate speech,China,Sikh,Non-binary,Heterosexual,Other
Other rights are human rights!,normal,India,Buddhist,Male,Other,Refugee
"You are being so hate speech, please stop.",hate speech,Russia,Buddhist,Female,Homosexual,Other
Germany culture is so rich and beautiful.,offensive,Germany,Sikh,Non-binary,Homosexual,None
Why are Female always blamed?,hate speech,Germany,Buddhist,Female,Other,Minority
Non-binary deserve equal treatment.,normal,Brazil,Buddhist,Non-binary,Heterosexual,Refugee
Attacking someone's Muslim is never okay.,normal,Nigeria,Muslim,Female,Heterosexual,Minority
Bisexual rights are human rights!,normal,China,Muslim,Female,Bisexual,None
I can't believe people from Russia still think like this.,offensive,Russia,Buddhist,Female,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,India,Muslim,Male,Homosexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Brazil,Jewish,Male,Heterosexual,Disability
Stop treating Other like second-class citizens.,hate speech,Russia,Jewish,Non-binary,Homosexual,Other
Why are Non-binary always blamed?,offensive,Russia,Hindu,Non-binary,Homosexual,Other
"This is just a normal opinion, nothing offensive about it.",offensive,Russia,Hindu,Non-binary,Heterosexual,Other
This is such a hateful thing to say about None people.,hate speech,Russia,None,Female,Heterosexual,None
Why are Non-binary always blamed?,normal,UK,None,Non-binary,Other,Refugee
Why are Non-binary always blamed?,normal,China,Hindu,Non-binary,Other,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Christian,Non-binary,Heterosexual,Refugee
Homosexual rights are human rights!,normal,Brazil,Muslim,Non-binary,Homosexual,Minority
Bisexual rights are human rights!,normal,India,Hindu,Male,Bisexual,None
Attacking someone's Jewish is never okay.,hate speech,China,Jewish,Non-binary,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,Nigeria,None,Non-binary,Heterosexual,Minority
Female deserve equal treatment.,hate speech,India,Buddhist,Female,Homosexual,Other
"You are being so offensive, please stop.",offensive,India,Christian,Male,Other,Disability
Attacking someone's None is never okay.,normal,USA,None,Non-binary,Heterosexual,Refugee
I can't believe people from UK still think like this.,hate speech,UK,Sikh,Non-binary,Homosexual,Disability
Attacking someone's None is never okay.,hate speech,India,None,Non-binary,Other,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Brazil,Christian,Female,Homosexual,Other
Male deserve equal treatment.,normal,Germany,Hindu,Male,Other,Disability
Bisexual rights are human rights!,normal,Brazil,Christian,Male,Bisexual,Minority
Stop treating Other like second-class citizens.,normal,Nigeria,None,Female,Homosexual,Other
This is such a hateful thing to say about Muslim people.,normal,India,Muslim,Male,Heterosexual,Minority
Attacking someone's None is never okay.,normal,UK,None,Non-binary,Bisexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,None,Male,Other,Refugee
Attacking someone's Christian is never okay.,offensive,USA,Christian,Non-binary,Other,Disability
I can't believe people from Brazil still think like this.,offensive,Brazil,Christian,Female,Other,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,None,Non-binary,Bisexual,Other
"You are being so normal, please stop.",normal,USA,Muslim,Female,Other,Disability
"You are being so hate speech, please stop.",hate speech,Brazil,Buddhist,Female,Heterosexual,Minority
Why are Male always blamed?,offensive,India,Sikh,Male,Other,None
Stop treating None like second-class citizens.,normal,Russia,Hindu,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Sikh,Male,Heterosexual,Disability
Attacking someone's Christian is never okay.,normal,Nigeria,Christian,Non-binary,Heterosexual,Disability
Why are Male always blamed?,hate speech,USA,Muslim,Male,Other,Other
Attacking someone's None is never okay.,normal,China,None,Male,Heterosexual,Refugee
Stop treating Other like second-class citizens.,offensive,India,Jewish,Non-binary,Heterosexual,Other
Why are Male always blamed?,offensive,China,Christian,Male,Heterosexual,Other
I can't believe people from India still think like this.,offensive,India,None,Male,Other,None
Male deserve equal treatment.,offensive,Germany,Buddhist,Male,Heterosexual,None
This is such a hateful thing to say about Hindu people.,offensive,Russia,Hindu,Non-binary,Other,None
This is such a hateful thing to say about Christian people.,hate speech,India,Christian,Male,Heterosexual,Refugee
Bisexual rights are human rights!,offensive,Nigeria,Muslim,Non-binary,Bisexual,None
"This is just a normal opinion, nothing normal about it.",normal,Russia,None,Non-binary,Bisexual,Refugee
Bisexual rights are human rights!,normal,Germany,Christian,Male,Bisexual,Other
Female deserve equal treatment.,normal,Brazil,Buddhist,Female,Heterosexual,Minority
"You are being so offensive, please stop.",offensive,Brazil,Sikh,Female,Heterosexual,Disability
This is such a hateful thing to say about Muslim people.,hate speech,Germany,Muslim,Male,Other,Refugee
Attacking someone's None is never okay.,offensive,Russia,None,Female,Other,Disability
Bisexual rights are human rights!,normal,USA,None,Male,Bisexual,Other
Attacking someone's Buddhist is never okay.,hate speech,Brazil,Buddhist,Non-binary,Homosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Nigeria,None,Female,Bisexual,Other
Male deserve equal treatment.,normal,China,Buddhist,Male,Heterosexual,Disability
Heterosexual rights are human rights!,normal,India,Buddhist,Female,Heterosexual,Other
Why are Male always blamed?,hate speech,Brazil,Buddhist,Male,Heterosexual,None
Stop treating Refugee like second-class citizens.,hate speech,Germany,Jewish,Non-binary,Homosexual,Refugee
Other rights are human rights!,hate speech,China,Buddhist,Non-binary,Other,Other
"You are being so normal, please stop.",normal,Russia,Jewish,Female,Homosexual,Minority
Stop treating None like second-class citizens.,normal,Nigeria,Hindu,Non-binary,Other,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,None,Male,Homosexual,Other
Non-binary deserve equal treatment.,normal,Nigeria,Hindu,Non-binary,Heterosexual,Minority
Stop treating Minority like second-class citizens.,normal,India,Christian,Non-binary,Bisexual,Minority
Attacking someone's Christian is never okay.,hate speech,Nigeria,Christian,Female,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Sikh,Female,Bisexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Christian,Female,Heterosexual,Other
I can't believe people from Russia still think like this.,offensive,Russia,Buddhist,Non-binary,Other,Other
Bisexual rights are human rights!,hate speech,Nigeria,Christian,Female,Bisexual,Disability
This is such a hateful thing to say about None people.,normal,India,None,Male,Homosexual,Other
Nigeria culture is so rich and beautiful.,normal,Nigeria,Jewish,Female,Other,Other
Nigeria culture is so rich and beautiful.,normal,Nigeria,Jewish,Male,Bisexual,Refugee
Attacking someone's Muslim is never okay.,normal,Nigeria,Muslim,Non-binary,Homosexual,Refugee
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Buddhist,Female,Heterosexual,Minority
Stop treating Minority like second-class citizens.,normal,Brazil,Jewish,Male,Other,Minority
Homosexual rights are human rights!,normal,Brazil,None,Male,Homosexual,Disability
Female deserve equal treatment.,hate speech,Germany,Muslim,Female,Other,Minority
Bisexual rights are human rights!,hate speech,Germany,Buddhist,Non-binary,Bisexual,Refugee
Germany culture is so rich and beautiful.,hate speech,Germany,Buddhist,Female,Bisexual,Minority
"You are being so normal, please stop.",normal,Germany,Hindu,Female,Heterosexual,None
India culture is so rich and beautiful.,offensive,India,Muslim,Female,Bisexual,Minority
Other rights are human rights!,offensive,Brazil,Sikh,Male,Other,Disability
This is such a hateful thing to say about None people.,hate speech,Nigeria,None,Non-binary,Other,Refugee
Stop treating Minority like second-class citizens.,normal,Germany,Christian,Female,Heterosexual,Minority
Brazil culture is so rich and beautiful.,hate speech,Brazil,None,Female,Homosexual,Minority
Russia culture is so rich and beautiful.,hate speech,Russia,Hindu,Male,Heterosexual,Other
Brazil culture is so rich and beautiful.,hate speech,Brazil,Christian,Non-binary,Heterosexual,Refugee
I can't believe people from UK still think like this.,hate speech,UK,Sikh,Female,Other,Minority
I can't believe people from India still think like this.,normal,India,Hindu,Male,Heterosexual,None
This is such a hateful thing to say about Buddhist people.,normal,India,Buddhist,Female,Other,Minority
Nigeria culture is so rich and beautiful.,hate speech,Nigeria,None,Non-binary,Bisexual,Refugee
"You are being so normal, please stop.",normal,China,Muslim,Male,Bisexual,Refugee
Stop treating Disability like second-class citizens.,offensive,India,Sikh,Female,Other,Disability
Why are Male always blamed?,hate speech,China,Buddhist,Male,Homosexual,None
"You are being so normal, please stop.",normal,UK,Sikh,Non-binary,Heterosexual,Refugee
Male deserve equal treatment.,offensive,Nigeria,None,Male,Homosexual,Disability
"You are being so hate speech, please stop.",hate speech,USA,Hindu,Non-binary,Heterosexual,Disability
I can't believe people from USA still think like this.,offensive,USA,Sikh,Non-binary,Homosexual,Disability
Why are Non-binary always blamed?,offensive,Germany,Hindu,Non-binary,Heterosexual,Other
Heterosexual rights are human rights!,normal,China,Buddhist,Non-binary,Heterosexual,Other
Bisexual rights are human rights!,hate speech,Brazil,Hindu,Female,Bisexual,Other
Male deserve equal treatment.,normal,India,Christian,Male,Other,Refugee
This is such a hateful thing to say about None people.,offensive,Brazil,None,Non-binary,Bisexual,Other
Attacking someone's None is never okay.,hate speech,China,None,Female,Heterosexual,None
"You are being so normal, please stop.",normal,China,Jewish,Female,Other,Other
Brazil culture is so rich and beautiful.,hate speech,Brazil,Hindu,Non-binary,Homosexual,Refugee
Heterosexual rights are human rights!,offensive,India,Christian,Female,Heterosexual,None
Attacking someone's Hindu is never okay.,offensive,UK,Hindu,Non-binary,Bisexual,Minority
Stop treating Other like second-class citizens.,normal,Russia,Sikh,Female,Bisexual,Other
Female deserve equal treatment.,offensive,China,None,Female,Other,Minority
I can't believe people from China still think like this.,normal,China,Sikh,Male,Homosexual,Other
"You are being so offensive, please stop.",offensive,UK,Jewish,Male,Other,None
Female deserve equal treatment.,normal,Brazil,Christian,Female,Heterosexual,None
Russia culture is so rich and beautiful.,offensive,Russia,None,Non-binary,Heterosexual,Other
"You are being so hate speech, please stop.",hate speech,Russia,Muslim,Non-binary,Other,Other
This is such a hateful thing to say about Sikh people.,normal,UK,Sikh,Male,Heterosexual,Minority
Stop treating None like second-class citizens.,normal,India,Muslim,Female,Other,None
Stop treating Disability like second-class citizens.,offensive,China,Sikh,Male,Other,Disability
Heterosexual rights are human rights!,offensive,USA,Muslim,Female,Heterosexual,Minority
Bisexual rights are human rights!,offensive,Brazil,Hindu,Non-binary,Bisexual,Disability
Heterosexual rights are human rights!,offensive,India,Sikh,Male,Heterosexual,Disability
This is such a hateful thing to say about None people.,offensive,UK,None,Female,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,Muslim,Female,Homosexual,Minority
Stop treating None like second-class citizens.,normal,UK,Hindu,Non-binary,Bisexual,None
"This is just a normal opinion, nothing normal about it.",normal,India,Muslim,Female,Bisexual,Refugee
Homosexual rights are human rights!,normal,UK,None,Non-binary,Homosexual,Refugee
Homosexual rights are human rights!,offensive,Brazil,Sikh,Female,Homosexual,Refugee
Why are Non-binary always blamed?,normal,Germany,Muslim,Non-binary,Other,Minority
Stop treating Minority like second-class citizens.,offensive,USA,Hindu,Male,Homosexual,Minority
Male deserve equal treatment.,hate speech,India,Sikh,Male,Other,Other
This is such a hateful thing to say about Christian people.,normal,UK,Christian,Non-binary,Other,Other
"You are being so normal, please stop.",normal,USA,None,Female,Heterosexual,Refugee
"You are being so hate speech, please stop.",hate speech,Germany,Buddhist,Female,Homosexual,Refugee
Stop treating Refugee like second-class citizens.,hate speech,Russia,Jewish,Female,Homosexual,Refugee
"You are being so hate speech, please stop.",hate speech,Germany,None,Male,Other,None
Other rights are human rights!,hate speech,Nigeria,None,Male,Other,Minority
"You are being so offensive, please stop.",offensive,USA,Hindu,Female,Bisexual,None
Why are Non-binary always blamed?,normal,China,Christian,Non-binary,Other,Other
I can't believe people from Germany still think like this.,offensive,Germany,Jewish,Non-binary,Heterosexual,None
Attacking someone's Christian is never okay.,normal,Russia,Christian,Male,Bisexual,Other
Attacking someone's Buddhist is never okay.,offensive,Nigeria,Buddhist,Male,Other,Refugee
Male deserve equal treatment.,normal,USA,Hindu,Male,Heterosexual,Minority
Attacking someone's Christian is never okay.,hate speech,China,Christian,Male,Homosexual,None
Bisexual rights are human rights!,offensive,Germany,Buddhist,Non-binary,Bisexual,Minority
Heterosexual rights are human rights!,normal,Brazil,Buddhist,Non-binary,Heterosexual,Disability
I can't believe people from Germany still think like this.,hate speech,Germany,Sikh,Female,Homosexual,Other
This is such a hateful thing to say about None people.,hate speech,Russia,None,Female,Homosexual,None
Why are Male always blamed?,hate speech,USA,None,Male,Other,Refugee
Attacking someone's Muslim is never okay.,normal,India,Muslim,Male,Other,None
"You are being so normal, please stop.",normal,India,Sikh,Non-binary,Bisexual,Other
Why are Male always blamed?,offensive,Russia,Hindu,Male,Heterosexual,Refugee
This is such a hateful thing to say about Jewish people.,hate speech,Germany,Jewish,Female,Other,Minority
Attacking someone's None is never okay.,hate speech,Russia,None,Female,Heterosexual,Other
Stop treating Refugee like second-class citizens.,normal,China,Sikh,Male,Heterosexual,Refugee
Russia culture is so rich and beautiful.,offensive,Russia,Christian,Male,Other,Minority
USA culture is so rich and beautiful.,normal,USA,Buddhist,Male,Heterosexual,Minority
Stop treating Refugee like second-class citizens.,normal,China,None,Female,Homosexual,Refugee
"You are being so normal, please stop.",normal,Brazil,Christian,Male,Bisexual,None
Non-binary deserve equal treatment.,hate speech,UK,Jewish,Non-binary,Heterosexual,Disability
Homosexual rights are human rights!,hate speech,UK,None,Female,Homosexual,Refugee
I can't believe people from Brazil still think like this.,normal,Brazil,Buddhist,Male,Other,Refugee
Why are Female always blamed?,normal,Russia,Jewish,Female,Heterosexual,Other
I can't believe people from Germany still think like this.,normal,Germany,Muslim,Male,Bisexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Jewish,Non-binary,Bisexual,None
I can't believe people from UK still think like this.,hate speech,UK,Buddhist,Non-binary,Bisexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Hindu,Male,Bisexual,Minority
Non-binary deserve equal treatment.,offensive,China,Jewish,Non-binary,Homosexual,Disability
Stop treating Minority like second-class citizens.,offensive,USA,Muslim,Male,Homosexual,Minority
Why are Non-binary always blamed?,offensive,Brazil,Muslim,Non-binary,Other,Other
Why are Non-binary always blamed?,normal,Brazil,Hindu,Non-binary,Bisexual,Refugee
Other rights are human rights!,offensive,Nigeria,None,Female,Other,Refugee
This is such a hateful thing to say about Buddhist people.,normal,India,Buddhist,Non-binary,Bisexual,Disability
Why are Female always blamed?,offensive,Nigeria,Christian,Female,Heterosexual,Minority
Why are Female always blamed?,normal,Russia,Buddhist,Female,Homosexual,Refugee
USA culture is so rich and beautiful.,hate speech,USA,Hindu,Non-binary,Bisexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,Nigeria,Jewish,Female,Other,Refugee
Attacking someone's Hindu is never okay.,hate speech,Germany,Hindu,Male,Bisexual,Disability
"You are being so hate speech, please stop.",hate speech,India,Jewish,Female,Homosexual,Refugee
Male deserve equal treatment.,offensive,UK,Hindu,Male,Other,Minority
Stop treating Minority like second-class citizens.,hate speech,Russia,Hindu,Non-binary,Other,Minority
Stop treating Minority like second-class citizens.,normal,India,Christian,Male,Heterosexual,Minority
I can't believe people from China still think like this.,hate speech,China,Hindu,Non-binary,Other,Other
Stop treating None like second-class citizens.,hate speech,Russia,None,Female,Homosexual,None
Attacking someone's Hindu is never okay.,normal,China,Hindu,Female,Heterosexual,None
I can't believe people from China still think like this.,hate speech,China,None,Male,Heterosexual,Other
Stop treating Refugee like second-class citizens.,hate speech,UK,Jewish,Non-binary,Homosexual,Refugee
Germany culture is so rich and beautiful.,normal,Germany,Hindu,Non-binary,Other,Refugee
This is such a hateful thing to say about Christian people.,hate speech,Germany,Christian,Male,Other,Minority
Stop treating Minority like second-class citizens.,hate speech,Nigeria,Sikh,Male,Homosexual,Minority
Stop treating None like second-class citizens.,offensive,Russia,Jewish,Male,Heterosexual,None
This is such a hateful thing to say about None people.,hate speech,Nigeria,None,Female,Heterosexual,None
Homosexual rights are human rights!,offensive,USA,Muslim,Female,Homosexual,Disability
Attacking someone's Christian is never okay.,offensive,China,Christian,Male,Other,Disability
Stop treating Disability like second-class citizens.,normal,Russia,None,Non-binary,Other,Disability
Brazil culture is so rich and beautiful.,offensive,Brazil,Hindu,Male,Heterosexual,Disability
Why are Female always blamed?,normal,China,Muslim,Female,Bisexual,Minority
Non-binary deserve equal treatment.,hate speech,China,Jewish,Non-binary,Other,Other
Why are Female always blamed?,normal,India,Hindu,Female,Bisexual,Disability
This is such a hateful thing to say about Muslim people.,offensive,Brazil,Muslim,Male,Homosexual,Disability
Why are Male always blamed?,hate speech,Germany,Sikh,Male,Other,Other
Stop treating Refugee like second-class citizens.,offensive,Germany,Sikh,Female,Bisexual,Refugee
Brazil culture is so rich and beautiful.,normal,Brazil,Hindu,Female,Homosexual,None
Homosexual rights are human rights!,normal,USA,None,Non-binary,Homosexual,Disability
Non-binary deserve equal treatment.,offensive,USA,None,Non-binary,Other,None
Attacking someone's Christian is never okay.,normal,USA,Christian,Female,Bisexual,Minority
I can't believe people from Nigeria still think like this.,normal,Nigeria,Muslim,Non-binary,Other,Refugee
This is such a hateful thing to say about None people.,hate speech,India,None,Female,Bisexual,None
Attacking someone's Christian is never okay.,normal,USA,Christian,Female,Heterosexual,Refugee
"You are being so hate speech, please stop.",hate speech,China,Muslim,Male,Homosexual,None
Homosexual rights are human rights!,hate speech,Nigeria,None,Non-binary,Homosexual,Other
Male deserve equal treatment.,offensive,Nigeria,Jewish,Male,Homosexual,Disability
Stop treating Other like second-class citizens.,hate speech,Nigeria,Sikh,Non-binary,Other,Other
I can't believe people from Brazil still think like this.,offensive,Brazil,Sikh,Female,Bisexual,Other
Female deserve equal treatment.,hate speech,UK,Buddhist,Female,Homosexual,Other
Attacking someone's Christian is never okay.,normal,USA,Christian,Non-binary,Other,None
Stop treating Disability like second-class citizens.,offensive,Brazil,Christian,Male,Homosexual,Disability
Female deserve equal treatment.,offensive,UK,Buddhist,Female,Homosexual,Minority
Male deserve equal treatment.,offensive,India,None,Male,Heterosexual,Disability
I can't believe people from Germany still think like this.,hate speech,Germany,Muslim,Female,Heterosexual,Other
Attacking someone's Hindu is never okay.,normal,Nigeria,Hindu,Male,Other,Other
Why are Male always blamed?,offensive,Brazil,Christian,Male,Heterosexual,Other
Bisexual rights are human rights!,offensive,China,Muslim,Female,Bisexual,Minority
Stop treating Disability like second-class citizens.,normal,India,None,Non-binary,Bisexual,Disability
Stop treating Minority like second-class citizens.,offensive,China,Hindu,Male,Homosexual,Minority
I can't believe people from Russia still think like this.,hate speech,Russia,Hindu,Male,Other,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Jewish,Non-binary,Homosexual,Disability
Stop treating Disability like second-class citizens.,normal,Germany,Jewish,Male,Heterosexual,Disability
Why are Non-binary always blamed?,hate speech,Russia,Sikh,Non-binary,Other,Refugee
Non-binary deserve equal treatment.,normal,Germany,Christian,Non-binary,Bisexual,Other
Stop treating Minority like second-class citizens.,normal,Germany,Christian,Non-binary,Heterosexual,Minority
Other rights are human rights!,hate speech,China,Sikh,Male,Other,None
Why are Male always blamed?,normal,UK,None,Male,Bisexual,Minority
Stop treating Other like second-class citizens.,normal,UK,None,Female,Other,Other
Homosexual rights are human rights!,normal,Brazil,Jewish,Male,Homosexual,Other
Non-binary deserve equal treatment.,hate speech,Nigeria,Hindu,Non-binary,Heterosexual,Other
This is such a hateful thing to say about Hindu people.,hate speech,India,Hindu,Female,Other,Other
Female deserve equal treatment.,normal,Nigeria,Muslim,Female,Homosexual,None
Stop treating None like second-class citizens.,hate speech,UK,Muslim,Female,Heterosexual,None
I can't believe people from India still think like this.,hate speech,India,Jewish,Male,Bisexual,None
Female deserve equal treatment.,hate speech,Nigeria,Christian,Female,Heterosexual,Minority
I can't believe people from UK still think like this.,offensive,UK,Hindu,Male,Other,Minority
Homosexual rights are human rights!,normal,India,Christian,Female,Homosexual,Other
"This is just a normal opinion, nothing normal about it.",normal,Russia,None,Male,Homosexual,Other
Stop treating Disability like second-class citizens.,offensive,USA,Buddhist,Male,Heterosexual,Disability
Stop treating Other like second-class citizens.,offensive,Russia,None,Non-binary,Other,Other
Heterosexual rights are human rights!,hate speech,China,Christian,Female,Heterosexual,Refugee
"You are being so offensive, please stop.",offensive,Brazil,Christian,Male,Heterosexual,None
Other rights are human rights!,hate speech,UK,Jewish,Non-binary,Other,Other
Attacking someone's Hindu is never okay.,normal,India,Hindu,Non-binary,Homosexual,None
Nigeria culture is so rich and beautiful.,normal,Nigeria,Hindu,Non-binary,Heterosexual,Minority
"You are being so hate speech, please stop.",hate speech,Russia,Buddhist,Non-binary,Other,Disability
I can't believe people from India still think like this.,normal,India,Christian,Non-binary,Heterosexual,Minority
Stop treating Disability like second-class citizens.,normal,Germany,Hindu,Male,Homosexual,Disability
Stop treating Other like second-class citizens.,hate speech,USA,None,Non-binary,Heterosexual,Other
"This is just a normal opinion, nothing normal about it.",normal,UK,Hindu,Female,Other,Disability
This is such a hateful thing to say about None people.,hate speech,India,None,Female,Bisexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Hindu,Non-binary,Homosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Muslim,Non-binary,Other,Disability
Stop treating Minority like second-class citizens.,normal,Nigeria,Buddhist,Female,Bisexual,Minority
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Buddhist,Non-binary,Other,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Brazil,Buddhist,Female,Other,Other
"You are being so offensive, please stop.",offensive,UK,Sikh,Female,Heterosexual,Disability
I can't believe people from Brazil still think like this.,hate speech,Brazil,Christian,Female,Other,None
I can't believe people from India still think like this.,normal,India,None,Male,Homosexual,Refugee
Stop treating Minority like second-class citizens.,hate speech,Nigeria,Hindu,Female,Bisexual,Minority
Nigeria culture is so rich and beautiful.,hate speech,Nigeria,Christian,Non-binary,Other,None
Non-binary deserve equal treatment.,hate speech,Russia,Jewish,Non-binary,Homosexual,None
Why are Female always blamed?,normal,Brazil,Muslim,Female,Bisexual,Refugee
Why are Non-binary always blamed?,normal,UK,Sikh,Non-binary,Heterosexual,Minority
"You are being so hate speech, please stop.",hate speech,Germany,Hindu,Non-binary,Homosexual,Other
Male deserve equal treatment.,hate speech,Germany,Sikh,Male,Other,Refugee
Stop treating None like second-class citizens.,hate speech,Russia,None,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Christian,Female,Homosexual,None
Attacking someone's Christian is never okay.,normal,USA,Christian,Male,Heterosexual,Refugee
Female deserve equal treatment.,normal,UK,Muslim,Female,Bisexual,Refugee
This is such a hateful thing to say about Jewish people.,normal,India,Jewish,Non-binary,Other,None
Brazil culture is so rich and beautiful.,hate speech,Brazil,Jewish,Female,Homosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Buddhist,Non-binary,Homosexual,Refugee
UK culture is so rich and beautiful.,hate speech,UK,Sikh,Male,Bisexual,Disability
This is such a hateful thing to say about Jewish people.,hate speech,Russia,Jewish,Female,Homosexual,None
Attacking someone's Sikh is never okay.,hate speech,USA,Sikh,Non-binary,Heterosexual,Minority
